l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
,,,11:57:00,,2.65,2.7,2.6,2.6,,304.55,312.2,304.55,311.55,,268.35,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:58:00,,2.65,2.7,2.6,2.7,,309.75,309.75,307.65,307.65,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:59:00,,2.7,2.7,2.65,2.7,,307.65,309,305.3,305.3,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:00:00,,2.65,2.7,2.65,2.7,,305.3,309,305.3,309,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:01:00,,2.7,2.75,2.65,2.7,,312.2,312.2,308.9,310.35,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:02:00,,2.75,2.8,2.7,2.8,,310.35,310.65,309.2,309.3,,268.55,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:03:00,,2.75,2.8,2.5,2.5,,309.3,309.3,306.55,307.6,,268.25,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:04:00,,2.5,2.55,2.4,2.45,,307.6,307.6,304.6,304.6,,268.2,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:05:00,,2.45,2.5,2.4,2.5,,302.8,302.8,298,300.05,,268.25,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:06:00,,2.5,2.6,2.5,2.6,,299.85,299.85,296.05,299.4,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:07:00,,2.6,2.65,2.55,2.6,,299.4,302.1,299.4,301.95,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:08:00,,2.65,2.65,2.5,2.6,,301.95,307,301.95,306.6,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:09:00,,2.55,2.6,2.55,2.6,,306.6,306.6,299.95,299.95,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:10:00,,2.55,2.6,2.5,2.6,,299.95,304.45,299.95,304.45,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:11:00,,2.55,2.65,2.55,2.65,,304.45,304.45,300.15,302,,268.4,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:12:00,,2.65,2.65,2.6,2.6,,300.15,300.15,296.05,296.45,,268.35,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:13:00,,2.6,2.65,2.55,2.55,,296.45,301.95,296.45,301.65,,268.3,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:14:00,,2.55,2.75,2.55,2.7,,301.65,305,300.85,305,,268.45,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
,,,12:15:00,,2.7,2.7,2.6,2.7,,305,309.35,305,306.45,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:16:00,,2.7,2.75,2.65,2.7,,297.4,299.3,290.9,295,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:17:00,,2.75,2.75,2.65,2.65,,295.2,295.85,295.1,295.85,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:18:00,,2.7,2.7,2.65,2.7,,295.85,300.15,295.85,300.15,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:19:00,,2.7,2.75,2.65,2.7,,300.15,300.15,296.3,297.85,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:20:00,,2.75,2.75,2.7,2.75,,297.85,297.85,297.45,297.45,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:21:00,,2.75,2.75,2.65,2.7,,297.45,298.6,297.45,298.6,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:22:00,,2.65,2.7,2.65,2.7,,298.6,301.6,298.6,300.15,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:23:00,,2.7,2.7,2.65,2.7,,300.15,300.15,300.15,300.15,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:24:00,,2.7,2.7,2.6,2.7,,300.15,301.35,300.15,301.35,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:25:00,,2.7,2.7,2.6,2.6,,301.35,301.35,299.7,299.7,,268.35,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:26:00,,2.6,2.65,2.6,2.65,,299.7,299.7,296.95,296.95,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:27:00,,2.6,2.65,2.6,2.65,,296.95,304.45,296.95,304.45,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:28:00,,2.65,2.7,2.6,2.7,,304.45,304.45,304.35,304.35,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:29:00,,2.65,2.7,2.6,2.65,,304.35,304.35,300.95,300.95,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:30:00,,2.65,2.7,2.6,2.7,,300.95,300.95,295.75,295.75,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:31:00,,2.7,2.85,2.7,2.75,,295.75,295.75,289.9,292.95,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:32:00,,2.75,2.75,2.7,2.75,,292.95,295.9,292.95,295.9,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:33:00,,2.75,2.75,2.65,2.7,,295.9,296.4,294.5,294.5,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
